Im Filialzielbestand bis spätestens;Quelle;Product Type;Product Mandator Country Id;Product Id; Einkaufspreis (teilweise Lagerwert) ;Stück pro Filiale;Bemerkungen;Einkaufswert;;Verfügbarkeit;Anpassung der Anzahl;;;Legende:
24.05.2024;;Externe Festplatte;Elements (5 TB);12344745; CHF 82.01 ;1;; CHF 82.01 ;AJ;;;;;
24.05.2024;;Externe Festplatte;My Passport (5 TB);11743611; CHF 88.95 ;1;; CHF 88.95 ;AJ;;;;;
24.05.2024;;Externe Festplatte;My Passport (2 TB);11743643; CHF 55.60 ;1;; CHF 55.60 ;AJ;;;;;
24.05.2024;;Externe Festplatte;Basic (5 TB);12935374; CHF 78.96 ;1;; CHF 78.96 ;AJ;;;;;
24.05.2024;;Externe Festplatte;Rugged USB-C (2 TB);6150536; CHF 89.30 ;1;; CHF 89.30 ;AJ;;;;;
24.05.2024;;Externe Festplatte;Rugged USB-C (5 TB);10146209; CHF 147.50 ;1;; CHF 147.50 ;AJ;;;;;
24.05.2024;;Externe Festplatte;Rugged USB-C (4 TB);5940022; CHF 131.99 ;1;; CHF 131.99 ;AJ;;;;;
24.05.2024;;Externe Festplatte;Mobile Drive (2 TB);21965017; CHF 74.70 ;1;; CHF 74.70 ;AJ;;;;;
;;Externe Festplatte;Canvio Basics (2 TB);23907241; CHF 51.91 ;1;; CHF 51.91 ;AJ;;;;;
;;Externe Festplatte;My Passport - for Mac (2 TB) ;11743800; CHF 68.37 ;1;; CHF 68.37 ;AJ;;;;;
;;Externe Festplatte;Rugged USB-C (1 TB);6078794; CHF 66.84 ;1;; CHF 66.84 ;AJ;;;;;
24.05.2024;;Externe SSD;Portable T7 Titan Grey (1000 GB);13199902; CHF 75.13 ;1;; CHF 75.13 ;AJ;;;;;
24.05.2024;;Externe SSD;Extreme Portable (1000 GB);13953055; CHF 92.35 ;1;; CHF 92.35 ;AJ;;;;;
24.05.2024;;Externe SSD;Extreme Portable (500 GB);13951674; CHF 66.95 ;1;; CHF 66.95 ;AJ;;;;;
24.05.2024;;Externe SSD;Portable T7 Titan Grey (2000 GB);13199903; CHF 119.77 ;1;; CHF 119.77 ;AJ;;;;;
24.05.2024;;Externe SSD;Portable T7 Blue (1000 GB);13199904; CHF 75.02 ;1;; CHF 75.02 ;AJ;;;;;
24.05.2024;;Externe SSD;Portable T7 Blue (2000 GB);13199905; CHF 120.86 ;1;; CHF 120.86 ;AJ;;;;;
24.05.2024;;Externe SSD;T7 Shield (4000 GB);23938521; CHF 254.74 ;1;; CHF 254.74 ;AJ;;;;;
24.05.2024;;Externe SSD;Extreme Portable (2000 GB);13953125; CHF 138.03 ;1;; CHF 138.03 ;AJ;;;;;
24.05.2024;;Externe SSD;Extreme PRO Portable (1000 GB);13953492; CHF 135.31 ;1;; CHF 135.31 ;AJ;;;;;
;;Externe SSD;Portable SSD V2 (1000 GB);36095616; CHF 57.26 ;1;; CHF 57.26 ;AJ;;;;;
;;Externe SSD;Extreme Portable (4000 GB);14594598; CHF 207.29 ;1;; CHF 207.29 ;AJ;;;;;
;;Externe SSD;T7 Shield (2000 GB);18863765; CHF 126.14 ;1;; CHF 126.14 ;AJ;;;;;
;;Externe SSD;Extreme PRO Portable (2000 GB);13953525; CHF 169.47 ;1;; CHF 169.47 ;AJ;;;;;
;;Externe SSD;Portable SSD V2 (2000 GB);36095613; CHF 105.47 ;1;; CHF 105.47 ;AJ;;;;;
;;Externe SSD;T7 Shield (1000 GB);18863890; CHF 77.16 ;1;; CHF 77.16 ;AJ;;;;;
